DEPTH,ROP5,AZIM_CONT_RT,SHK_ISONIC_RT,TQA,SHKTOT_RT,CRPM_RT,ARC_GR_RT,RHOB_DH_ADN_RT,SPM1,DEPT,APRS_RT,SHK_ADN_RT,STAT_ADN_RT,P40L_RT,TRPM_RT,TFLO,ADIA_ADN_RT,RPM,P40H_RT,INCL_CONT_RT,SHKPK_RT,ROP,BITRUN,SPM3,STUCK_RT,STAT_ISONIC_RT,SPPA,SHKRSK_RT,TNPH_ADN_RT,SPM2,ECD_ARC_RT,DRHO_DH_ADN_RT,HKLD,DTCO_RT,PASS_NAME,SWOB,SHK2_RT,DVER,P28H_RT,STWD_RT
235.61,,,,,,,,1.23,,,,0,,,,,26.0858,,,,,,3,,,,,,0.5327,,,-0.1,,,Drilling,,,235.6094856,,
235.763,,,,,,,,1.23,,,,0,,,,,25.7302,,,,,,3,,,,,,0.5268,,,-0.1,,,Drilling,,,235.7618856,,
235.915,,,,,,,,1.23,,,,0,,,,,41.9862,,,,,,3,,,,,,0.4628,,,-0.1,,,Drilling,,,235.9142856,,
236.068,,,,,,,,1.24,,,,0,,,,,58.0898,,,,,,3,,,,,,0.5557,,,-0.1,,,Drilling,,,236.0666856,,
236.22,,,,,,,,1.25,,,,0,,,,,41.8338,,,,,,3,,,,,,0.4873,,,-0.1,,,Drilling,,,236.2190856,,
236.372,,,,,,,,1.24,,,,0,,,,,25.5778,,,,,,3,,,,,,0.5327,,,-0.1,,,Drilling,,,236.3714856,,
236.525,,,,,,,,1.25,,,,0,,,,,25.4,,,,,,3,,,,,,0.599,,,-0.1,,,Drilling,,,236.5238856,,
236.677,,,,,,,,1.23,,,,0,,,,,25.4,,,,,,3,,,,,,0.5536,,,-0.1,,,Drilling,,,236.6762856,,
236.83,,,,,,,,1.23,,,,0,,,,,41.8338,,,,,,3,,,,,,0.493,,,-0.11,,,Drilling,,,236.8286856,,
236.982,,,,,,,,1.23,,,,0,,,,,25.7302,,,,,,3,,,,,,0.5837,,,-0.1,,,Drilling,,,236.9810856,,
237.134,,,,,,,,1.23,,,,0,,,,,25.5778,,,,,,3,,,,,,0.5693,,,-0.1,,,Drilling,,,237.1334856,,
237.287,,,,,,,,1.23,,,,0,,,,,25.5778,,,,,,3,,,,,,0.5964,,,-0.1,,,Drilling,,,237.2858856,,
237.439,,,,,,,,1.23,,,,0,,,,,25.7302,,,,,,3,,,,,,0.4987,,,-0.11,,,Drilling,,,237.4382856,,
237.592,,,,,,,,1.23,,,,0,,,,,25.4,,,,,,3,,,,,,0.5045,,,-0.1,,,Drilling,,,237.5906856,,
237.744,,,,,,,,1.23,,,,0,,,,,25.4,,,,,,3,,,,,,0.5788,,,-0.11,,86.6,Drilling,,,237.7430856,,
237.896,,,0,,,,,1.23,,,,0,,,,,25.4,,,,,,3,,,,,,0.5154,,,-0.11,,,Drilling,,,237.8954856,,
238.049,,,,,,,,1.23,,,,0,,,,,25.7302,,,,,,3,,,,,,0.493,,,-0.1,,,Drilling,,,238.0478856,,
238.201,,,,,,,,1.23,,,,0,,,,,25.7302,,,,,,3,,,,,,0.5045,,,-0.1,,,Drilling,,,238.2002856,,
238.354,,,,,,,,1.23,,,,0,,,,,25.908,,,,,,3,,,,,,0.5557,,,-0.1,,,Drilling,,,238.3526856,,
238.506,,,,,,,,1.23,,,,0,,,,,25.908,,,,,,3,,,,,,0.5117,,,-0.1,,,Drilling,,,238.5050856,,
238.658,,,,,,,,1.23,,,,0,,,,,25.908,,,,,,3,,,,,,0.4958,,,-0.1,,,Drilling,,,238.6574856,,
238.811,,,,,,,,1.22,,,,0,,,,,25.7302,,,,,,3,,,,,,0.5536,,,-0.1,,,Drilling,,,238.8098856,,
238.963,,,0,,,,,1.23,,,,0,,,,,25.7302,,,,,,3,,,,,,0.5624,,,-0.1,,69.36,Drilling,,,238.9622856,,
239.116,,,0,,,,,1.22,,,,0,,,,,25.7302,,,,,,3,,,,,,0.5099,,,-0.1,,81.4,Drilling,,,239.1146856,,
239.268,,,0,,,,,1.22,,,,0,,,,,25.7302,,,,,,3,,,,,,0.5135,,,-0.1,,87,Drilling,,,239.2670856,,
239.42,,,0,,,,,1.24,,,,0,,,,,25.7302,,,,,,3,,,,,,0.501,,,-0.1,,72,Drilling,,,239.4194856,,
239.573,,,0,,,,,1.23,,,,0,,,,,25.7302,,,,,,3,,,,,,0.5172,,,-0.1,,66.8,Drilling,,,239.5718856,,
239.725,,,0,,,,,1.23,,,,0,,,,,25.908,,,,,,3,,,,,,0.5229,,,-0.1,,84.6,Drilling,,,239.7242856,,
239.878,,,0,,,,,1.23,,,,0,,,,,25.908,,,,,,3,,,,,,0.5471,,,-0.1,,71.7,Drilling,,,239.8766856,,
240.03,,,0,,,,,1.23,,,,0,,,,,25.5778,,,,,,3,,,,,,0.5788,,,-0.1,,60.6,Drilling,,,240.0290856,,
240.182,,,0,,,,,1.22,,,,0,,,,,25.5778,,,,,,3,,,,,,0.5307,,,-0.1,,67.8,Drilling,,,240.1814856,,
240.335,,,0,,,,,1.22,,,,0,,,,,25.5778,,,,,,3,,,,,,0.5764,,,-0.1,,66.8,Drilling,,,240.3338856,,
240.487,,,0,,,,,1.22,,,,0,,,,,25.908,,,,,,3,,,,,,0.4845,,,-0.1,,70.2,Drilling,,,240.4862856,,
240.64,,,0,,,,,1.22,,,,0,,,,,25.7302,,,,,,3,,,,,,0.4682,,,-0.1,,71.6,Drilling,,,240.6386856,,
240.792,,,0,,,,,1.22,,,,0,,,,,25.7302,,,,,,3,,,,,,0.5837,,,-0.1,,64.4,Drilling,,,240.7910856,,
240.944,,,0,,,,,1.22,,,,0,,,,,25.7302,,,,,,3,,,,,,0.5191,,,-0.1,,71.6,Drilling,,,240.9434856,,
241.097,,,0,,,,,1.22,,,,0,,,,,25.7302,,,,,,3,,,,,,0.5045,,,-0.1,,64.8,Drilling,,,241.0958856,,
241.249,,,0,,,,,1.23,,,,0,,,,,25.7302,,,,,,3,,,,,,0.5602,,,-0.1,,67.2,Drilling,,,241.2482856,,
241.402,,,0,,,,,1.23,,,,0,,,,,25.7302,,,,,,3,,,,,,0.501,,,-0.1,,61,Drilling,,,241.4006856,,
241.554,,,0,,,,,1.22,,,,0,,,,,25.7302,,,,,,3,,,,,,0.5536,,,-0.1,,60.7,Drilling,,,241.5530856,,
241.706,,,0,,,,,1.22,,,,0,,,,,25.908,,,,,,3,,,,,,0.5117,,,-0.11,,60,Drilling,,,241.7054856,,
241.859,,,0,,,,,1.22,,,,0,,,,,41.9862,,,,,,3,,,,,,0.5229,,,-0.1,,71,Drilling,,,241.8578856,,
242.011,,,0,,,,,1.22,,,,0,,,,,25.5778,,,,,,3,,,,,,0.4602,,,-0.1,,90.8,Drilling,,,242.0102856,,
242.164,,,0,,,,,1.23,,,,0,,,,,25.7302,,,,,,3,,,,,,0.5229,,,-0.1,,68.5,Drilling,,,242.1626856,,
